,value,term,classify,congoness
0,0.4345931982377528,leaders,Congo and Belgrade,0.04573843332040941
2,0.4313949227662336,kennedy,Belgrade Only,-0.13069338497156066
4,0.4108064300140026,aligned,Belgrade Only,-0.0051652413866911774
6,0.37820725884794937,cabinet,Congo and Belgrade,0.047582256776011
8,0.3282028998055121,tito,Congo and Belgrade,0.0132655439946195
10,0.3207087471820769,meeting,Belgrade Only,-0.07105583855926267
12,0.3007559964782043,august,Congo and Belgrade,0.1214383910855012
14,0.2882125421784425,ben,Belgrade Only,-0.17533972661847674
16,0.2845571754003776,mohamed,Congo and Belgrade,0.032052635225516365
18,0.27410908314972404,yugoslav,Congo and Belgrade,0.07664768296070065
20,0.2705424263565085,summit,Belgrade Only,-0.0197579794947274
22,0.2631704014645026,saad,Congo and Belgrade,0.0205663213489806
24,0.2435083954910861,premier,Belgrade Only,-0.00405613323398095
26,0.2390295173695001,commentator,Belgrade Only,-0.01886142356318633
28,0.2279004959151317,talks,Belgrade Only,-0.02381126252526175
30,0.2262039154431122,powers,Congo and Belgrade,0.32933855574057963
32,0.22164647043809987,ahmed,Belgrade Only,-0.09644780830691099
34,0.21997991940341502,us,Belgrade Only,-0.0705698056834593
36,0.2181537335630083,department,Belgrade Only,-0.02172429319144873
38,0.21567024210050093,editorial,Congo and Belgrade,0.1879052558224012
40,0.20902250702933484,presidents,Belgrade Only,-0.01989904046079029
42,0.20785941859195972,nehru,Belgrade Only,-0.05276909704962382
44,0.2059111966161748,prime,Congo and Belgrade,0.1144611769754506
46,0.2056603460591738,yugoslavia,Belgrade Only,-0.02012839932916743
48,0.20255615549643305,radio,Congo and Belgrade,0.07850457332215346
50,0.19941474419816368,nuclear,Congo and Belgrade,0.02862040141701038
52,0.1943448908115261,uncommitted,Congo and Belgrade,0.04712659044562007
54,0.1941133466103926,session,Belgrade Only,-0.024006768161420156
56,0.1893733562979808,gamal,Congo and Belgrade,0.12094517347156605
58,0.18570445356103554,bases,Congo and Belgrade,0.1609685470174582
60,0.1812084976074489,survival,Belgrade Only,-0.0005543407631898957
62,0.18100044572464044,middle,Belgrade Only,-0.0847930862428886
64,0.17891889426105834,din,Congo and Belgrade,0.002795350693392336
66,0.17538078204312876,prince,Belgrade Only,-0.028249044698342288
68,0.1666962937000412,participating,Belgrade Only,-0.023528779240064416
70,0.16614517063234993,youssef,Congo and Belgrade,0.1403281750797465
72,0.1632447388926472,support,Belgrade Only,-0.0008829517991703551
74,0.1600488838861043,algeria,Belgrade Only,-0.16392315768061233
76,0.15983053760042135,tension,Belgrade Only,-0.06994702372493729
78,0.15915422164309728,america,Congo and Belgrade,0.0466740116193149
80,0.15840214874828465,respect,Congo and Belgrade,0.08212595301395069
82,0.15818053009604374,doubts,Belgrade Only,-0.0
84,0.15548922653827246,interests,Congo and Belgrade,0.05196269772540869
86,0.1549764114893599,aziz,Congo and Belgrade,0.014185846685589254
88,0.15449467540887438,sahara,Congo and Belgrade,0.1304914688369924
90,0.15339007348423056,pact,Congo and Belgrade,0.009106778504799913
92,0.15024106781753452,commentary,Congo and Belgrade,0.03547595898399971
94,0.14956765414541212,claim,Belgrade Only,-0.06792738350337957
96,0.14914177819779414,art,Congo and Belgrade,0.2143880442725166
98,0.14757674099159845,observers,Congo and Belgrade,0.0923953473346599
100,0.14711843838354807,rights,Congo and Belgrade,0.10439475239332344
102,0.1465823858872394,khrushchev,Congo and Belgrade,0.14058508095655636
104,0.14522627114199607,amin,Belgrade Only,-0.0
106,0.14522627114199607,features,Congo and Belgrade,0.011687635877593435
108,0.13878524306032675,berlin,Congo and Belgrade,0.01597102840248887
110,0.1370544001475779,blocs,Congo and Belgrade,0.035744265737940636
112,0.13696061111978286,voice,Congo and Belgrade,0.05482467152688071
114,0.13579236140644524,heads,Belgrade Only,-0.05635626596516601
116,0.13547695376608002,soviet,Congo and Belgrade,0.004612272515890774
118,0.13452014751524968,agreements,Congo and Belgrade,0.034522449413280726
120,0.1340068948881467,john,Congo and Belgrade,4.145957651695536e-05
122,0.13373535906072948,called,Congo and Belgrade,0.11866864290135375
124,0.13292062613711655,magazine,Congo and Belgrade,0.00180447898656719
126,0.1327872458482567,solidarity,Belgrade Only,-0.05650384932276396
128,0.1299234401748353,september,Belgrade Only,-0.004810202423784663
130,0.12953809045055553,oil,Belgrade Only,-0.23897220279349055
132,0.12747557749765515,nkrumah,Congo and Belgrade,0.1254503633437563
134,0.1274417322720585,communique,Congo and Belgrade,0.17226734074929267
136,0.12660249531170575,provisional,Belgrade Only,-0.14554254081997522
138,0.1262198545658754,kr,Belgrade Only,-0.0
140,0.1257997213661095,view,Congo and Belgrade,0.02720696065895512
142,0.12538818513894048,resolutions,Belgrade Only,-0.1151794646898684
144,0.12505934582719772,blaustein,Belgrade Only,-0.0
146,0.12418204815866332,yemen,Congo and Belgrade,0.0031090604204346227
148,0.12293052005725072,particularly,Congo and Belgrade,0.0549712016324571
150,0.12206162745108845,gaulle,Congo and Belgrade,0.02671799152898149
152,0.12032925205357516,cuba,Belgrade Only,-0.09212160592433734
154,0.11805031198214032,chairman,Congo and Belgrade,0.04572917175650112
156,0.1179341852637382,source,Belgrade Only,-0.04305433767298971
158,0.1168024201902258,demand,Congo and Belgrade,0.008945402617320485
160,0.11672920318026657,tween,Belgrade Only,-0.0734851169610102
162,0.11670679360839108,free,Congo and Belgrade,0.0535553501769968
164,0.1159241449409611,shah,Congo and Belgrade,0.2745275407689802
166,0.11590497845811625,king,Belgrade Only,-0.012368529503962392
168,0.11551282912184145,theatre,Congo and Belgrade,0.02186368795487595
170,0.1151412067121136,washington,Belgrade Only,-0.02842472616234235
172,0.11451573941081848,singers,Congo and Belgrade,0.023598217672466792
174,0.11449159201744635,important,Congo and Belgrade,0.1050872856291654
176,0.11404620403532008,committed,Congo and Belgrade,0.06953416185864933
178,0.1139654901013512,proposal,Congo and Belgrade,0.03791995846892205
180,0.11327510880648214,tests,Congo and Belgrade,0.045730706101614865
182,0.11305799228954275,egyptian,Belgrade Only,-0.16729548589442916
184,0.11238463858861544,doubt,Congo and Belgrade,0.06297710982928763
186,0.11218953016214273,grade,Congo and Belgrade,0.02339408245242209
188,0.11156297413236547,message,Congo and Belgrade,0.11938631311484345
190,0.11140386147637922,cooperation,Congo and Belgrade,0.02411905840324075
192,0.10926743975829004,peres,Belgrade Only,-0.0
194,0.1089693916080568,sides,Belgrade Only,-0.009589504474941172
196,0.10873622135286333,letters,Belgrade Only,-0.0
198,0.1084646732651271,neutralist,Congo and Belgrade,0.0440361422116563
200,0.10811799358434293,interest,Belgrade Only,-0.017457471234958225
202,0.10504537251962656,wednesday,Belgrade Only,-0.03263636563560073
204,0.1042669773822738,de,Congo and Belgrade,0.052096287672295516
206,0.1038181265633754,added,Congo and Belgrade,0.10225495163174553
208,0.10329743722692927,portugal,Congo and Belgrade,0.03504869266028977
210,0.10298752542976436,mahmoud,Belgrade Only,-0.07522046360128137
212,0.10122546114235853,question,Belgrade Only,-0.02015948725605
214,0.10061938579353896,bring,Congo and Belgrade,0.02710934428225491
216,0.09971079082552584,algiers,Congo and Belgrade,0.04315782273039998
218,0.0993669551501214,fly,Belgrade Only,-0.015729745596186426
220,0.0991779250647071,mustafa,Belgrade Only,-0.020582173873698272
222,0.09867780028278876,realise,Belgrade Only,-0.019075513797738884
224,0.09784120171451252,library,Belgrade Only,-0.02947166579331437
226,0.09783573294775222,tries,Belgrade Only,-0.049426070631655834
228,0.09743257239347536,critical,Congo and Belgrade,0.02090294228062531
230,0.09721393840233754,union,Belgrade Only,-0.09314460030764024
232,0.09708937073985444,movements,Congo and Belgrade,0.0010861918510590345
234,0.09702679761117483,section,Belgrade Only,-0.04677342718626064
236,0.09649854523267933,syria,Belgrade Only,-0.1749972514951459
238,0.09608581584923502,means,Belgrade Only,-0.000705972638065181
240,0.09551502652397596,casablanca,Belgrade Only,-0.0
242,0.0953011275567468,france,Congo and Belgrade,0.07399664699776996
244,0.09506391249288966,mali,Congo and Belgrade,0.01826419490598054
246,0.09463928230069704,abbas,Belgrade Only,-0.06776247058408917
248,0.09412711530844707,bonn,Belgrade Only,-0.036646574818898915
250,0.0937033919765094,plays,Belgrade Only,-0.0
252,0.09350993995416408,reviewed,Belgrade Only,-0.01989904046079029
254,0.0928613826001172,finally,Congo and Belgrade,0.02609918096780113
256,0.09223805287594856,played,Congo and Belgrade,0.031242993098434056
258,0.09217418507060744,colonialist,Congo and Belgrade,0.050456481713965634
260,0.09137804348441697,ways,Belgrade Only,-0.018120932645514804
262,0.0911006001914664,developments,Belgrade Only,-0.029925310534417087
264,0.09049097800352468,thursday,Belgrade Only,-0.01832653160480364
266,0.09046012663826393,moscow,Congo and Belgrade,0.018505489763488914
268,0.09006391271432332,massa,Belgrade Only,-0.0
270,0.08972308897184662,board,Belgrade Only,-0.1332310954587632
272,0.08955419818577222,integrity,Congo and Belgrade,0.0889106425433025
274,0.08950735229828982,satisfaction,Belgrade Only,-0.0
276,0.08950395892424512,weekly,Belgrade Only,-0.1298448354290593
278,0.08947508077452808,issued,Congo and Belgrade,0.006636478807756229
280,0.08905200649559504,areas,Belgrade Only,-0.06231693970851725
282,0.08870482518249323,angola,Belgrade Only,-0.0007488834073056497
284,0.08794674439860392,agreement,Belgrade Only,-0.14723910582809085
286,0.08773872552473558,simon,Belgrade Only,-0.0
288,0.0872713796646177,contribute,Belgrade Only,-0.008707637934198148
290,0.08700690978597515,business,Belgrade Only,-0.07417970623924733
292,0.08694864844982851,crown,Congo and Belgrade,0.01830853573251737
294,0.0868699130741178,self,Belgrade Only,-0.06666882240185025
296,0.08681123229182383,approved,Congo and Belgrade,0.0016418156647657624
298,0.0864953905976232,following,Belgrade Only,-0.021555230043916213
300,0.08624016805869225,vice,Congo and Belgrade,0.059611472213198215
302,0.08529152527727174,liquidation,Belgrade Only,-0.03178034709041617
304,0.0851178157317674,keita,Belgrade Only,-0.004875082644367024
306,0.08501458142527439,tiations,Congo and Belgrade,0.017920305015741805
308,0.08475590760530508,dakar,Belgrade Only,-0.0
310,0.08475590760530508,karachi,Congo and Belgrade,0.0203367629477732
312,0.08475590760530508,khartoum,Congo and Belgrade,0.05175093135401829
314,0.08475590760530508,khatib,Belgrade Only,-0.0
316,0.08475590760530508,meguid,Belgrade Only,-0.015227069185058097
318,0.08475590760530508,mursi,Congo and Belgrade,0.022197926027704262
320,0.08475590760530508,talaat,Congo and Belgrade,0.02246822580071051
322,0.08475590760530508,yassin,Belgrade Only,-0.025095395952574817
324,0.08239061455119642,lead,Congo and Belgrade,0.040581727196930366
326,0.08236542659149862,arrived,Congo and Belgrade,0.05847001443593545
328,0.08233209132621512,light,Congo and Belgrade,0.03361311288440156
330,0.08223000870781055,humanity,Congo and Belgrade,0.08928808794142959
332,0.08198989883206848,believe,Congo and Belgrade,0.035592628179908235
334,0.08180626879285749,hopes,Belgrade Only,-0.039689523895700386
336,0.08157033224247462,translated,Belgrade Only,-0.030176175775248417
338,0.0811453672892286,violation,Congo and Belgrade,0.032296095890853214
340,0.08110078918251899,spheres,Congo and Belgrade,0.09506932956053994
342,0.08075884771727396,german,Belgrade Only,-0.1348117075378012
344,0.08072488322359543,ireland,Belgrade Only,-0.0
346,0.08065616572628774,council,Congo and Belgrade,0.09278602293756916
348,0.08051337971529854,aden,Congo and Belgrade,0.02225148286495621
350,0.08051337971529854,sherif,Belgrade Only,-0.0
352,0.0804630547976537,military,Belgrade Only,-0.03639390919656122
354,0.08019708366891427,ity,Congo and Belgrade,0.01994044428738141
356,0.08010035514309466,morocco,Congo and Belgrade,0.035996886888870434
358,0.0800980458543816,arms,Belgrade Only,-0.14289770515947975
360,0.08001260590215352,indian,Congo and Belgrade,0.06255153730332877
362,0.08000614666083025,responsibility,Congo and Belgrade,0.02325321502036419
364,0.07977706568843315,great,Congo and Belgrade,0.13279600020163976
366,0.07975092424625,trend,Congo and Belgrade,0.028098660457316
368,0.07910534412305735,fully,Belgrade Only,-0.00974307426465388
370,0.07799233718827109,citizen,Congo and Belgrade,0.035851747487076216
372,0.07798407555473938,hussein,Congo and Belgrade,0.13278722899140555
374,0.07795349297860478,mean,Congo and Belgrade,0.1550445325192317
376,0.07790218600339469,questions,Congo and Belgrade,0.013972530264254102
378,0.07728425030068077,exports,Belgrade Only,-0.0967416351002459
380,0.07721268135032648,audience,Congo and Belgrade,0.040172223687393316
382,0.07711748775749919,act,Congo and Belgrade,0.08359921851239434
384,0.07708258943927293,latin,Congo and Belgrade,0.0796288367752124
386,0.07661720021611157,pave,Congo and Belgrade,0.007733038435927781
388,0.07661232412849432,pointed,Congo and Belgrade,0.0470296124076344
390,0.07629723339733356,beyond,Congo and Belgrade,0.026380985127330333
392,0.07604130122983638,situation,Congo and Belgrade,0.12784345122201646
394,0.07601659235621025,soldier,Belgrade Only,-0.0
396,0.07597595037453543,delegation,Belgrade Only,-0.007043705459136025
398,0.0759493565019702,negotiations,Belgrade Only,-0.07246409867061736
400,0.07588365332544057,whose,Congo and Belgrade,0.11259435967795535
402,0.07443736999179275,ended,Congo and Belgrade,0.014232044721878155
404,0.07404156791523145,representing,Belgrade Only,-0.0
406,0.073990001645886,lunch,Belgrade Only,-0.0
408,0.073990001645886,remove,Belgrade Only,-0.0
410,0.0734978077397491,ties,Congo and Belgrade,0.011239217788183466
412,0.0732083856058411,ence,Congo and Belgrade,0.02439713635934173
414,0.07292033382903282,loss,Belgrade Only,-0.03347512253375563
416,0.07275398167755946,views,Belgrade Only,-0.054511104499778515
418,0.07258239584172957,concluded,Belgrade Only,-0.01682507366095981
420,0.07254784573905494,selassie,Congo and Belgrade,0.044054576561431615
422,0.07251902155868077,helmi,Belgrade Only,-0.0
424,0.07251902155868077,mansour,Belgrade Only,-0.08631934131405125
426,0.07251902155868077,sein,Belgrade Only,-0.01662158260504911
428,0.07250975057525531,supported,Belgrade Only,-0.0010931953405717084
430,0.0721553864769751,communist,Belgrade Only,-0.02190905629662193
432,0.07202130159396722,attended,Congo and Belgrade,0.007573309495251765
434,0.07195340889851401,role,Congo and Belgrade,0.15466358108886366
436,0.07190216113710099,gursel,Belgrade Only,-0.0
438,0.07181767456098202,reaction,Congo and Belgrade,0.08000459926570863
440,0.07167400125976245,final,Congo and Belgrade,0.02305432430740516
442,0.07158325558427045,amr,Belgrade Only,-0.1043013127389771
444,0.07112405798443656,must,Belgrade Only,-0.1131526910341908
446,0.07110828122762453,brit,Belgrade Only,-0.0
448,0.0710300691505253,trip,Belgrade Only,-0.0
450,0.07102254310342843,discuss,Belgrade Only,-0.034934423571637785
452,0.07093763158618895,recognition,Congo and Belgrade,0.0895157406750518
454,0.07047454402740977,crimes,Congo and Belgrade,0.07639755432005081
456,0.07016348612137324,ya,Belgrade Only,-0.0
458,0.07014635694561264,regarded,Congo and Belgrade,0.027193794797539708
460,0.07006603190295878,germany,Belgrade Only,-0.09964678281090388
462,0.06998729811509387,painter,Congo and Belgrade,0.023598217672466792
464,0.06995840862535978,allies,Congo and Belgrade,0.03220386733080457
466,0.06984332320401238,unity,Congo and Belgrade,0.05129749211559025
468,0.06966503132184568,maintenance,Belgrade Only,-0.02307180425093932
470,0.0695939734421587,contributing,Belgrade Only,-0.0
472,0.06958874463551101,saying,Congo and Belgrade,0.03684105114117227
474,0.06953537316474599,career,Belgrade Only,-0.028245376675713363
476,0.06951719174781991,declared,Belgrade Only,-0.08454392546717683
478,0.0695046446720354,isolate,Belgrade Only,-0.0037779487378262343
480,0.0695046446720354,process,Congo and Belgrade,0.06079328468572445
482,0.06934076056235652,ability,Congo and Belgrade,0.05077556344627674
484,0.06914846376048245,negative,Belgrade Only,-0.030880685757182467
486,0.0690923848895513,reality,Belgrade Only,-0.010958729148531918
488,0.06907666515400783,pressure,Belgrade Only,-0.012990787492787582
490,0.06901401600917613,mentary,Belgrade Only,-0.0
492,0.06873588848652809,governments,Belgrade Only,-0.026788772954740327
494,0.06866217147709837,factor,Congo and Belgrade,0.006631468121496241
496,0.06860340883242028,nedy,Belgrade Only,-0.021479819769320826
498,0.06855174586866439,sources,Belgrade Only,-0.036636506300174176
500,0.06848355089650694,formally,Congo and Belgrade,0.027903280632982214
502,0.06844145994174748,latif,Belgrade Only,-0.0
504,0.06841702038086349,rose,Congo and Belgrade,0.2382690432163632
